0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 0
21, 0
22, 0
23, 0
24, 0
25, 0
26, 0
27, 0
28, 0
29, 0
30, 0
31, 0
32, 0
33, 0
34, 0
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 0
45, 0
46, 0
47, 0
48, 0
49, 0
50, 0
51, 0
52, 0
53, 0
54, 0
55, 0
56, 0
57, 0
58, 0
59, 1
60, 0
61, 0
62, 0
63, 0
64, 0
65, 0
66, 0
67, 0
68, 1
69, 4
70, 1
71, 3
72, 8
73, 16
74, 18
75, 22
76, 34
77, 24
78, 46
79, 64
80, 98
81, 102
82, 125
83, 133
84, 187
85, 213
86, 193
87, 220
88, 246
89, 255
90, 276
91, 296
92, 322
93, 365
94, 334
95, 347
96, 344
97, 360
98, 378
99, 392
100, 426
101, 439
102, 474
103, 524
104, 514
105, 582
106, 581
107, 566
108, 597
109, 570
110, 591
111, 674
112, 761
113, 814
114, 896
115, 791
116, 751
117, 772
118, 884
119, 876
120, 854
121, 800
122, 797
123, 734
124, 651
125, 563
126, 569
127, 503
128, 548
129, 547
130, 523
131, 552
132, 506
133, 523
134, 533
135, 495
136, 548
137, 544
138, 570
139, 578
140, 541
141, 526
142, 556
143, 529
144, 448
145, 512
146, 561
147, 501
148, 457
149, 498
150, 477
151, 530
152, 591
153, 521
154, 556
155, 641
156, 751
157, 797
158, 700
159, 644
160, 617
161, 620
162, 647
163, 685
164, 805
165, 682
166, 774
167, 933
168, 868
169, 1227
170, 1008
171, 1376
172, 1359
173, 1447
174, 2536
175, 1885
176, 541
177, 140
178, 163
179, 148
180, 147
181, 147
182, 142
183, 140
184, 152
185, 155
186, 130
187, 136
188, 129
189, 117
190, 106
191, 136
192, 129
193, 133
194, 125
195, 112
196, 135
197, 127
198, 115
199, 106
200, 109
201, 96
202, 108
203, 111
204, 106
205, 100
206, 111
207, 100
208, 100
209, 93
210, 88
211, 99
212, 104
213, 108
214, 100
215, 81
216, 82
217, 86
218, 73
219, 86
220, 72
221, 57
222, 58
223, 61
224, 54
225, 39
226, 43
227, 43
228, 35
229, 38
230, 29
231, 23
232, 32
233, 16
234, 15
235, 17
236, 13
237, 11
238, 7
239, 9
240, 7
241, 9
242, 6
243, 5
244, 5
245, 2
246, 3
247, 1
248, 2
249, 5
250, 4
251, 6
252, 2
253, 0
254, 0
255, 0
